strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	authors
Switzerland/100126/2020	EPI_ISL_451710	?	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
Switzerland/100146/2020	EPI_ISL_451730	?	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
Switzerland/100826/2020	EPI_ISL_451775	?	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
Switzerland/100830/2020	EPI_ISL_451778	?	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
Switzerland/42169171/2020	EPI_ISL_418271	?	University Hospital Basel, Clinical Virology	University Hospital Basel, Labormedizin	Hirsch et al
Switzerland/42176771/2020	EPI_ISL_418285	?	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Hirsch et al
Switzerland/42177236/2020	EPI_ISL_418433	?	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Hirsch et al
Switzerland/BL0902/2020	EPI_ISL_414021	?	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al. et al
Switzerland/GE3895/2020	EPI_ISL_413997	?	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al. et al
Switzerland/GE4135/2020	EPI_ISL_415705	?	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/GR3043/2020	EPI_ISL_415699	?	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/TI9486/2020	EPI_ISL_413996	?	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al. et al
Taiwan/CGMH-CGU-09/2020	EPI_ISL_417522	?	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Taiwan/NTU06/2020	EPI_ISL_422409	?	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al
Taiwan/NTU08/2020	EPI_ISL_422411	?	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al
Taiwan/NTU10/2020	EPI_ISL_447614	?	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al
Taiwan/NTU15/2020	EPI_ISL_422417	?	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al
Taiwan/TSGH-36/2020	EPI_ISL_457730	?	TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Thailand/Bangkok-0072/2020	EPI_ISL_447013	?	Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al
Thailand/Bangkok-0077/2020	EPI_ISL_447018	?	Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al
Turkey/HSGM-4698/2020	EPI_ISL_437332	?	Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al
Turkey/HSGM-4706/2020	EPI_ISL_428712	?	Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al
USA/CA-CZB086/2020	EPI_ISL_429033	?	UCSF Clinical Microbiology Laboratory	Chan-Zuckerberg Biohub	CZB Cliahub Consortium et al
USA/FL_5125/2020	EPI_ISL_419559	?	FL Bureau of Public Health Laboratories-Tampa	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/IL-UW353/2020	EPI_ISL_418920	?	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/MI-MDHHS-SC20535/2020	EPI_ISL_460583	?	Michigan Department of Health and Human Services, Bureau of Laboratories	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship HM et al
USA/NH_0004/2020	EPI_ISL_420791	?	NH Department of Health and Human Services Public Health Labs	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
USA/NY-SURV0240/2020	EPI_ISL_436059	?	NYC Department of Health and Mental Hygiene	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA-S781/2020	EPI_ISL_449951	?	Washington State Department of Health	Seattle Flu Study	Chu et al et al
Uganda/UG015/2020	EPI_ISL_451197	?	Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Dan Lule Bugembe et al
UnitedArabEmirates/L0881/2020	EPI_ISL_435125	?	Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al
UnitedArabEmirates/L2185/2020	EPI_ISL_435130	?	Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al
UnitedArabEmirates/L3779/2020	EPI_ISL_435132	?	Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al
Uruguay/UY-NYUMC868/2020	EPI_ISL_457964	?	Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
Vietnam/39607/2020	EPI_ISL_416428	?	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	Le Quynh Mai et al
Wales/PHWC-28A22/2020	EPI_ISL_445388	?	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
