strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	authors
France/HF3295/2020	EPI_ISL_421511	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3419/2020	EPI_ISL_428350	?	CH Jean de Navarre Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3534/2020	EPI_ISL_428353	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3598/2020	EPI_ISL_428358	?	CH Jeanne de Navarre Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3668/2020	EPI_ISL_443316	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3669/2020	EPI_ISL_443309	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3677/2020	EPI_ISL_428359	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3678/2020	EPI_ISL_428360	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF4220/2020	EPI_ISL_428366	?	CH Jeanne de Navarre Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF6466/2020	EPI_ISL_443315	?	Château de la Source	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF0372/2020	EPI_ISL_406596	?	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF0373/2020	EPI_ISL_406597	?	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF0386-islP1/2020	EPI_ISL_411219	?	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon	Olivier Terrier et al
France/IDF0515/2020	EPI_ISL_408430	?	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF0626/2020	EPI_ISL_408431	?	Sorbonne Université, Inserm et Assistance Publique-Hôpitaux de Paris (Pitié Salpétrière)	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF1980/2020	EPI_ISL_414633	?	Centre Hospitalier René Dubois Laboratoire de Microbiologie - Bât A	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2075/2020	EPI_ISL_415650	?	Hôpital Instruction des Armées - BEGIN	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2251/2020	EPI_ISL_428355	?	Institut Médico légal- Hop R. Poincaré	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2252/2020	EPI_ISL_428356	?	Institut Médico légal- Hop R. Poincaré	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2253/2020	EPI_ISL_428357	?	Institut Médico légal- Hop R. Poincaré	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2256/2020	EPI_ISL_416498	?	Institut Médico légal- Hop R. Poincaré	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2278/2020	EPI_ISL_416499	?	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2279/2020	EPI_ISL_416500	?	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2284/2020	EPI_ISL_416501	?	Hopital franco britannique - Service des Urgences	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2359/2020	EPI_ISL_421501	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2410/2020	EPI_ISL_418229	?	Hopital franco britannique - Laboratoire	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2412/2020	EPI_ISL_421502	?	Parc des Dames	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2414/2020	EPI_ISL_421503	?	Parc des Dames	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2420/2020	EPI_ISL_418230	?	Clinique AVERAY LA BROUSTE, Med. Polyvalente	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2532/2020	EPI_ISL_418232	?	Service des Urgences	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2533/2020	EPI_ISL_418233	?	Service des Urgences	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2534/2020	EPI_ISL_418234	?	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2536/2020	EPI_ISL_421504	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2548/2020	EPI_ISL_421505	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2561/2020	EPI_ISL_418235	?	Cabinet médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2684/2020	EPI_ISL_418240	?	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2768/2020	EPI_ISL_420042	?	Service de Biologie clinique	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2792/2020	EPI_ISL_420043	?	CMIP	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2848/2020	EPI_ISL_420046	?	Résidence Villa Caroline	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2849/2020	EPI_ISL_420047	?	Résidence Villa Caroline	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2936/2020	EPI_ISL_420048	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF2989/2020	EPI_ISL_420051	?	Résidence Eleusis	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3029/2020	EPI_ISL_420052	?	Résidence les Marines	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3040/2020	EPI_ISL_420054	?	Résidence de maintenon	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3081/2020	EPI_ISL_443300	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3163/2020	EPI_ISL_420058	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3165/2020	EPI_ISL_420059	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3170/2020	EPI_ISL_420060	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3212/2020	EPI_ISL_420061	?	CMIP	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3218/2020	EPI_ISL_420062	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3230/2020	EPI_ISL_420063	?	Labo BM - Site de Juvisy - Hopital Général	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3235/2020	EPI_ISL_420064	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3236/2020	EPI_ISL_421506	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3274/2020	EPI_ISL_421507	?	Le Château de Seine-Port	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3276/2020	EPI_ISL_421508	?	Le Château de Seine-Port	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3324/2020	EPI_ISL_421512	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3345/2020	EPI_ISL_421513	?	Service de Biologie clinique	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3359/2020	EPI_ISL_443301	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3368/2020	EPI_ISL_443302	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3384/2020	EPI_ISL_428347	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3386/2020	EPI_ISL_428349	?	Service de Biologie Médicale - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3509/2020	EPI_ISL_428351	?	GH Nord Essonne Service de Biologie clinique	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3518/2020	EPI_ISL_428352	?	GH Nord Essonne Service de Biologie clinique	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3577/2020	EPI_ISL_428354	?	LABM GH nord Essonne de Longjumeau - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3703/2020	EPI_ISL_428361	?	LABM GH nord Essonne de Longjumeau - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3709/2020	EPI_ISL_428362	?	LABM GH nord Essonne de Longjumeau - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3745/2020	EPI_ISL_428363	?	GH Nord Essonne Service de Biologie clinique	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3831/2020	EPI_ISL_428364	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF3930/2020	EPI_ISL_428365	?	LABM GH nord Essonne de Longjumeau - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF4423/2020	EPI_ISL_443311	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF4432/2020	EPI_ISL_443317	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF4791/2020	EPI_ISL_443258	?	Résidence Ornano	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF4793/2020	EPI_ISL_443259	?	Résidence Ornano	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF4843/2020	EPI_ISL_443260	?	LABM GH nord Essonne de Longjumeau - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5577/2020	EPI_ISL_443303	?	Résidence Les Marines	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5650/2020	EPI_ISL_443284	?	Laboratoire de Microbiologie - Bât A - CH René Dubois	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5655/2020	EPI_ISL_443285	?	Laboratoire de Microbiologie - Bât A - CH René Dubois	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5657/2020	EPI_ISL_443286	?	Laboratoire de Microbiologie - Bât A - CH René Dubois	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5662/2020	EPI_ISL_443287	?	Laboratoire de Microbiologie - Bât A - CH René Dubois	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5666/2020	EPI_ISL_443288	?	Laboratoire de Microbiologie - Bât A - CH René Dubois	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5778/2020	EPI_ISL_443304	?	Résidence Esterel	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5847/2020	EPI_ISL_443295	?	Hôpital Necker - Enfants - Malades Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5848/2020	EPI_ISL_443296	?	Hôpital Necker - Enfants - Malades Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5850/2020	EPI_ISL_443297	?	Hôpital Necker - Enfants - Malades Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5851/2020	EPI_ISL_443298	?	Hôpital Necker - Enfants - Malades Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5853/2020	EPI_ISL_443299	?	Hôpital Necker - Enfants - Malades Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF5986/2020	EPI_ISL_443305	?	LABM GH nord Essonne de Longjumeau - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF6037/2020	EPI_ISL_443306	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/IDF6073/2020	EPI_ISL_443314	?	LABM GH nord Essonne de Longjumeau - BP 125	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/KRA-ROB/2020	EPI_ISL_424993	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Croville et al
France/Lyon_06042/2020	EPI_ISL_417333	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/Lyon_06056/2020	EPI_ISL_417334	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/Lyon_06464/2020	EPI_ISL_416753	?	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_06487/2020	EPI_ISL_416754	?	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_06531/2020	EPI_ISL_416756	?	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_06573/2020	EPI_ISL_417335	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/Lyon_06625/2020	EPI_ISL_417337	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/Lyon_0668/2020	EPI_ISL_417336	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/Lyon_06820/2020	EPI_ISL_417339	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/Lyon_0693/2020	EPI_ISL_416758	?	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_487/2020	EPI_ISL_416747	?	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_508/2020	EPI_ISL_416748	?	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Lyon_683/2020	EPI_ISL_416750	?	Institut des Agents Infectieux (IAI) Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Macon_06756/2020	EPI_ISL_417338	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/N1620/2020	EPI_ISL_414624	?	Centre Hositalier Universitaire de Rouen Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/N2223/2020	EPI_ISL_416494	?	Centre Hositalier Universitaire de Rouen Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/N4427/2020	EPI_ISL_428367	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/OCC-1/2020	EPI_ISL_434616	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-10/2020	EPI_ISL_434625	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-11/2020	EPI_ISL_434626	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-12/2020	EPI_ISL_434627	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-13/2020	EPI_ISL_434628	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-14/2020	EPI_ISL_434629	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-15/2020	EPI_ISL_434630	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-16/2020	EPI_ISL_434631	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-17/2020	EPI_ISL_434632	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-18/2020	EPI_ISL_434633	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-19/2020	EPI_ISL_434634	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-2/2020	EPI_ISL_434617	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-20/2020	EPI_ISL_434635	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-3/2020	EPI_ISL_434618	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-4/2020	EPI_ISL_434619	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-5/2020	EPI_ISL_434620	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-6/2020	EPI_ISL_434621	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-7/2020	EPI_ISL_434622	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-8/2020	EPI_ISL_434623	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/OCC-9/2020	EPI_ISL_434624	?	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Laboratoire de virologie - √âcole Nationale Vétérinaire de Toulouse	Guillaume Croville et al
France/PL1643/2020	EPI_ISL_414625	?	Centre Hospitalier Régional Universitaire de Nantes Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/Pollionay_1733/2020	EPI_ISL_416745	?	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/RA739/2020	EPI_ISL_410486	?	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Valence_425/2020	EPI_ISL_416746	?	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Valence_532/2020	EPI_ISL_416749	?	Centre Hospitalier de Valence	CNR Virus des Infections Respiratoires - France SUD	Bal et al
USA/CZB-RR057-005/2020	EPI_ISL_417931	MT258377	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al
USA/CZB-RR057-006/2020	EPI_ISL_417932	MT258378	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al
USA/CZB-RR057-007/2020	EPI_ISL_417933	MT258379	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al
USA/CZB-RR057-011/2020	EPI_ISL_417935	MT258380	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al
USA/CZB-RR057-013/2020	EPI_ISL_417937	MT258381	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al
USA/CZB-RR057-014/2020	EPI_ISL_417938	MT258382	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al
USA/CZB-RR057-015/2020	EPI_ISL_417939	MT258383	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al
Sweden/01/2020	EPI_ISL_411951	MT093571	unknown	Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden	Bengner et al
Australia/VIC01/2020	EPI_ISL_406844	MT007544	Monash Medical Centre	Collaboration between the University of Melbourne at The Peter Doherty Institute for Infection and Immunity, and the Victorian Infectious Disease Reference Laboratory	Caly et al
Vietnam/19-01S/2020	EPI_ISL_418269	MT192772	unknown	Microbiology and Immunology department	Cao et al
Italy/INMI1-cs/2020	EPI_ISL_410546	MT066156	INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Capobianchi et al
Shenzhen/HKU-SZ-002/2020	EPI_ISL_406030	MN938384	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al
Shenzhen/HKU-SZ-005/2020	EPI_ISL_405839	MN975262	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al
Wuhan/WH01/2019	EPI_ISL_406798	LR757998	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Chen et al
Wuhan/WH03/2020	EPI_ISL_406800	LR757996	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Chen et al
China/WHU01/2020	EPI_ISL_406716	MN988668	unknown	State Key Laboratory of Virology, Wuhan University	Chen et al
China/WHU02/2020	EPI_ISL_406717	MN988669	unknown	State Key Laboratory of Virology, Wuhan University	Chen et al
Wuhan/WH04/2020	EPI_ISL_406801	LR757995	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Chen et al
USA/WA2/2020	EPI_ISL_412970	MT152824	Washington State Department of Health	Seattle Flu Study	Chu et al
USA/CA-CDPH-UC5/2020	EPI_ISL_413922	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/CA-CDPH-UC6/2020	EPI_ISL_413924	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/CA-CDPH-UC7/2020	EPI_ISL_413925	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/CA-CDPH-UC8/2020	EPI_ISL_413926	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/CA-CDPH-UC9/2020	EPI_ISL_413928	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/UC-CDPH-UC11/2020	EPI_ISL_413931	?	California Department of Public Health	Chiu Laboratory UCSF-Abbott Viral Diagnostics and Discovery Center University of California, San Francisco	Deng et al
USA/CA-CDPH-UC2/2020	EPI_ISL_413558	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/CA-CDPH-UC3/2020	EPI_ISL_413559	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/CA-CDPH-UC4/2020	EPI_ISL_413561	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/CA-CDPH-UC1/2020	EPI_ISL_413557	?	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al
USA/CT-Yale-003/2020	EPI_ISL_416418	?	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Fauver et al
USA/CT-Yale-005/2020	EPI_ISL_416419	?	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Fauver et al
USA/CT-Yale-002/2020	EPI_ISL_416417	?	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Fauver et al
USA/CT-Yale-006/2020	EPI_ISL_416420	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al
USA/CT-Yale-007/2020	EPI_ISL_416421	?	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Fauver et al
